fold,n_train,n_test,acc,bacc,auc
0,81,22,0.5,0.5,0.5178571428571429
1,81,21,0.5238095238095238,0.5192307692307692,0.4903846153846154
2,83,22,0.36363636363636365,0.4952380952380952,0.3619047619047619
3,84,20,0.65,0.532967032967033,0.4065934065934067
4,85,20,0.55,0.489010989010989,0.5604395604395604
5,83,21,0.47619047619047616,0.42857142857142855,0.4285714285714286
6,83,21,0.6666666666666666,0.5,0.2653061224489796
7,82,21,0.6666666666666666,0.6772727272727272,0.8
8,83,22,0.45454545454545453,0.4375,0.3660714285714285
9,85,20,0.55,0.6538461538461539,0.7802197802197802
10,84,19,0.47368421052631576,0.4777777777777778,0.4222222222222222
11,82,18,0.3333333333333333,0.47692307692307695,0.7692307692307693
12,79,23,0.4782608695652174,0.5708333333333333,0.5333333333333333
13,80,19,0.6842105263157895,0.5448717948717949,0.4423076923076923
14,79,23,0.4782608695652174,0.45238095238095233,0.5793650793650793
15,83,21,0.6190476190476191,0.5480769230769231,0.45192307692307687
16,86,19,0.5789473684210527,0.5,0.3522727272727273
17,82,22,0.2727272727272727,0.3333333333333333,0.27350427350427353
18,85,19,0.42105263157894735,0.4423076923076923,0.6025641025641026
19,81,21,0.6666666666666666,0.6428571428571428,0.6173469387755102
20,81,21,0.47619047619047616,0.4722222222222222,0.4722222222222222
21,83,20,0.75,0.6309523809523809,0.5476190476190477
22,81,19,0.631578947368421,0.5625,0.6761363636363636
23,81,19,0.631578947368421,0.6166666666666667,0.6888888888888889
24,79,20,0.4,0.4,0.32
25,78,21,0.42857142857142855,0.55,0.5222222222222223
26,79,22,0.36363636363636365,0.35,0.25
27,82,20,0.75,0.46875,0.21875
28,83,21,0.38095238095238093,0.38636363636363635,0.28181818181818186
29,84,22,0.4090909090909091,0.45238095238095233,0.638095238095238
30,85,19,0.42105263157894735,0.43333333333333335,0.38888888888888884
31,82,22,0.6363636363636364,0.6239316239316239,0.6324786324786325
32,84,22,0.5454545454545454,0.5454545454545454,0.5702479338842975
33,85,19,0.7368421052631579,0.4117647058823529,0.1470588235294118
34,82,21,0.38095238095238093,0.5,0.7115384615384616
35,84,18,0.3333333333333333,0.5,0.5138888888888888
36,80,21,0.47619047619047616,0.5048076923076923,0.5288461538461539
37,79,22,0.4090909090909091,0.48290598290598286,0.27350427350427353
38,82,22,0.36363636363636365,0.39166666666666666,0.22083333333333333
39,83,20,0.4,0.3939393939393939,0.41414141414141414
40,85,21,0.3333333333333333,0.3194444444444444,0.28240740740740744
41,85,20,0.45,0.44505494505494503,0.39560439560439564
42,83,21,0.5238095238095238,0.5090909090909091,0.6636363636363636
